23201,Loss,United States,Active,2004,Death/Doom Metal,Despond,2011,0.2
23201,Loss,United States,Active,2004,Death/Doom Metal,Despond,2011,1.0
23201,Loss,United States,Active,2004,Death/Doom Metal,Despond,2011,1.0
23201,Loss,United States,Active,2004,Death/Doom Metal,Despond,2011,0.97
23214,Lost World Order,Germany,Active,2007,Thrash/Death Metal,Marauders,2009,0.75
23235,Luna Field,Germany,Split-up,1998,Death/Black Metal,Close to Prime,2003,0.49
23235,Luna Field,Germany,Split-up,1998,Death/Black Metal,Diva,2005,0.35
23254,Lvcifyre,United Kingdom,Active,2007,Black/Death Metal,The Calling Depths,2011,0.89
23254,Lvcifyre,United Kingdom,Active,2007,Black/Death Metal,The Calling Depths,2011,0.87
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Carne de cementerio,2000,0.8
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Carne de cementerio,2000,0.88
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Trono de huesos,2002,1.0
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Trono de huesos,2002,0.95
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Sinfonías del terror ciego,2005,0.8
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Sinfonías del terror ciego,2005,0.95
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Mundo cripta,2008,0.9
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Mundo cripta,2008,0.98
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Mundo cripta,2008,0.9
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Ruin,2013,0.95
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Ruin,2013,0.85
23287,Machetazo,Spain,Split-up,1994,Death Metal/Grindcore,Ruin,2013,0.92
23302,Madrost,United States,Active,2007,Death/Thrash Metal,Maleficent,2012,0.6
23302,Madrost,United States,Active,2007,Death/Thrash Metal,Into the Aquatic Sector,2014,1.0
23309,Maggot Shoes,Germany,Active,1993,Death Metal with Grindcore influences,[f]EAR tERRORism,2008,0.5
23322,Magnus,Poland,Active,1987,Death/Thrash Metal,Scarlet Slaughterer,1989,1.0
23322,Magnus,Poland,Active,1987,Death/Thrash Metal,I Was Watching My Death,1992,0.97
23322,Magnus,Poland,Active,1987,Death/Thrash Metal,I Was Watching My Death,1992,1.0
23322,Magnus,Poland,Active,1987,Death/Thrash Metal,Acceptance of Death,2010,0.7
23327,Majestic Downfall,United States,Active,2006,Death/Doom Metal,The Blood Dance,2011,0.78
23327,Majestic Downfall,United States,Active,2006,Death/Doom Metal,The Blood Dance,2011,0.8
23339,Malas,United States,Active,2000,Thrash/Death Metal,Conquest,2005,0.99
23369,Malicious Onslaught,United States,Split-up,1986,Death/Thrash Metal,Rebellious Mayhem,1992,0.7
23369,Malicious Onslaught,United States,Split-up,1986,Death/Thrash Metal,Brutal Gore,1994,0.62
23369,Malicious Onslaught,United States,Split-up,1986,Death/Thrash Metal,Brutal Gore,1994,0.01
23376,Malignant Inception,United States,Split-up,1992,Black/Death Metal,Black Death,1997,0.8
23376,Malignant Inception,United States,Split-up,1992,Black/Death Metal,Path to Repression,2006,1.0
23376,Malignant Inception,United States,Split-up,1992,Black/Death Metal,Path to Repression,2006,0.39
23395,Mammutant,Germany,Active,2006,Industrial/Death Metal,Atomizer,2010,0.4
23403,Mangled Whore Flesh,United States,Active,2006,Death Metal/Goregrind,She Died like the Whore She Was,2006,0.9
23403,Mangled Whore Flesh,United States,Active,2006,Death Metal/Goregrind,She Died like the Whore She Was,2006,0.5
23403,Mangled Whore Flesh,United States,Active,2006,Death Metal/Goregrind,Sodomize Her Virgin Ass,2006,0.7
23421,Manticore,United States,Active,2000,Black/Death Metal,Bowels of the Holy Anoint Us in Evil,2003,0.85
23421,Manticore,United States,Active,2000,Black/Death Metal,For Rats and Plague,2006,0.79
23421,Manticore,United States,Active,2000,Black/Death Metal,For Rats and Plague,2006,0.8
23421,Manticore,United States,Active,2000,Black/Death Metal,Behold the Ascension of the Execrated,2012,0.75
23421,Manticore,United States,Active,2000,Black/Death Metal,Behold the Ascension of the Execrated,2012,0.8
23421,Manticore,United States,Active,2000,Black/Death Metal,Behold the Ascension of the Execrated,2012,0.6
23423,Mantra,Costa Rica,Active,1988,Death/Thrash Metal,Building: Hell,2010,0.94
23431,Marche Funèbre,Belgium,Active,2008,Doom/Death Metal,To Drown,2011,0.15
23437,Martriden,United States,Active,2000,Death/Black Metal,The Unsettling Dark,2008,0.8
23437,Martriden,United States,Active,2000,Death/Black Metal,The Unsettling Dark,2008,0.75
23437,Martriden,United States,Active,2000,Death/Black Metal,The Unsettling Dark,2008,0.8
23437,Martriden,United States,Active,2000,Death/Black Metal,Encounter the Monolith,2010,1.0
23437,Martriden,United States,Active,2000,Death/Black Metal,Encounter the Monolith,2010,0.79
23437,Martriden,United States,Active,2000,Death/Black Metal,Encounter the Monolith,2010,0.87
23446,Martyrvore,United States,Active,2002,Death/Black Metal,Obliteration,2014,0.7
23461,Mass Hypnosis,Croatia,Active,2006,Industrial/Death Metal,Disin4mation,2010,0.35
23461,Mass Hypnosis,Croatia,Active,2006,Industrial/Death Metal,Sanctimonious,2014,0.7
23476,Master,United States,Active,1983,Death/Thrash Metal,Master,1990,0.25
23476,Master,United States,Active,1983,Death/Thrash Metal,Master,1990,0.95
23476,Master,United States,Active,1983,Death/Thrash Metal,Master,1990,0.9
23476,Master,United States,Active,1983,Death/Thrash Metal,Master,1990,0.92
23476,Master,United States,Active,1983,Death/Thrash Metal,Master,1990,0.97
23476,Master,United States,Active,1983,Death/Thrash Metal,Master,1990,1.0
23476,Master,United States,Active,1983,Death/Thrash Metal,On the Seventh Day God Created... Master,1991,0.75
23476,Master,United States,Active,1983,Death/Thrash Metal,On the Seventh Day God Created... Master,1991,0.49
23476,Master,United States,Active,1983,Death/Thrash Metal,On the Seventh Day God Created... Master,1991,0.97
23476,Master,United States,Active,1983,Death/Thrash Metal,On the Seventh Day God Created... Master,1991,0.85
23476,Master,United States,Active,1983,Death/Thrash Metal,On the Seventh Day God Created... Master,1991,0.98
23476,Master,United States,Active,1983,Death/Thrash Metal,On the Seventh Day God Created... Master,1991,0.95
23476,Master,United States,Active,1983,Death/Thrash Metal,On the Seventh Day God Created... Master,1991,0.97
23476,Master,United States,Active,1983,Death/Thrash Metal,Collection of Souls,1993,0.79
23476,Master,United States,Active,1983,Death/Thrash Metal,Unreleased 1985 Album,2003,0.88
23476,Master,United States,Active,1983,Death/Thrash Metal,Unreleased 1985 Album,2003,0.85
23476,Master,United States,Active,1983,Death/Thrash Metal,The Spirit of the West,2004,0.85
23476,Master,United States,Active,1983,Death/Thrash Metal,Slaves to Society,2007,0.81
23476,Master,United States,Active,1983,Death/Thrash Metal,Slaves to Society,2007,0.7
23476,Master,United States,Active,1983,Death/Thrash Metal,Slaves to Society,2007,0.89
23476,Master,United States,Active,1983,Death/Thrash Metal,The Human Machine,2010,0.7
23476,Master,United States,Active,1983,Death/Thrash Metal,The Human Machine,2010,0.8
23476,Master,United States,Active,1983,Death/Thrash Metal,The New Elite,2012,0.95
23476,Master,United States,Active,1983,Death/Thrash Metal,The New Elite,2012,0.9
23476,Master,United States,Active,1983,Death/Thrash Metal,The Witchhunt,2013,0.85
23476,Master,United States,Active,1983,Death/Thrash Metal,The Witchhunt,2013,0.7
23476,Master,United States,Active,1983,Death/Thrash Metal,An Epiphany of Hate,2016,0.9
23476,Master,United States,Active,1983,Death/Thrash Metal,An Epiphany of Hate,2016,0.88
23508,Maze of Torment,Sweden,Unknown,1995,Death/Thrash Metal,The Force,1997,0.55
23508,Maze of Torment,Sweden,Unknown,1995,Death/Thrash Metal,Faster Disaster,1998,0.73
23508,Maze of Torment,Sweden,Unknown,1995,Death/Thrash Metal,Death Strikes,2000,0.65
23508,Maze of Torment,Sweden,Unknown,1995,Death/Thrash Metal,The Unmarked Graves,2003,0.69
23508,Maze of Torment,Sweden,Unknown,1995,Death/Thrash Metal,The Unmarked Graves,2003,0.8
23508,Maze of Torment,Sweden,Unknown,1995,Death/Thrash Metal,Hammers of Mayhem,2005,0.82
23508,Maze of Torment,Sweden,Unknown,1995,Death/Thrash Metal,Hidden Cruelty,2007,0.25
23508,Maze of Torment,Sweden,Unknown,1995,Death/Thrash Metal,Hidden Cruelty,2007,0.3
23517,Mechanism,Canada,Active,2003,Progressive/Death Metal,Inspired Horrific,2009,0.78
23517,Mechanism,Canada,Active,2003,Progressive/Death Metal,Inspired Horrific,2009,0.65
23525,Mefitic,Italy,Active,2004,Black/Death Metal,Woes of Mortal Devotion,2015,0.77
23525,Mefitic,Italy,Active,2004,Black/Death Metal,Woes of Mortal Devotion,2015,0.82
23536,Mein Ganzes Heer,Germany,Active,2007,Progressive/Death Metal,Zwiestunde,2009,0.74
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Awakening,1990,0.92
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Awakening,1990,0.98
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Awakening,1990,1.0
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Awakening,1990,0.89
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Awakening,1990,0.87
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Awakening,1990,0.84
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Awakening,1990,0.88
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Awakening,1990,1.0
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Treasures Within,1992,0.77
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Treasures Within,1992,0.82
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,The Treasures Within,1992,0.95
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,Unbound,1994,0.89
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,Unbound,1994,0.92
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,Unbound,1994,0.91
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,Unbound,1994,0.87
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,Unbound,1994,0.8
23587,Merciless,Sweden,Active,1986,Death/Thrash Metal,Merciless,2002,0.74
23588,Merciless Death,Poland,Active,1984,Death/Thrash Metal,Sick Sanctities,1993,0.75
23590,Merciless Reign,United States,Active,2011,Death/Thrash Metal,Catharsis Through Chaos,2014,0.51
23590,Merciless Reign,United States,Active,2011,Death/Thrash Metal,Catharsis Through Chaos,2014,0.65
23590,Merciless Reign,United States,Active,2011,Death/Thrash Metal,Catharsis Through Chaos,2014,0.33
23597,Mercyless,France,Active,1987,Death/Thrash Metal,Abject Offerings,1992,0.9
23597,Mercyless,France,Active,1987,Death/Thrash Metal,Abject Offerings,1992,0.92
23597,Mercyless,France,Active,1987,Death/Thrash Metal,Abject Offerings,1992,0.72
